job_id,company_name,job_title,job_url,contact_name,contact_title,department,contact_location,local_match,linkedin_url,rank_reason
1,Main Line Health,HIM Record Integrity Specialist,https://careerservices.ccp.edu/jobs/main-line-health-him-record-integrity-specialist/,Suzanne Layne,"AVP, Health Information & Patient Identity",HIM,"Greater Philadelphia, PA",Yes,https://linkedin.com/in/suzanne-layne-2b54226,HIM AVP same metro area
1,Main Line Health,HIM Record Integrity Specialist,https://careerservices.ccp.edu/jobs/main-line-health-him-record-integrity-specialist/,Lindsey Budge,AVP of Talent Acquisition & Physician Recruitment,HR/TA,"Greater Philadelphia, PA",Yes,https://linkedin.com/in/lindseybreiner,TA AVP same metro area
2,Monument Health,Health Information Management Technician II,https://monument.health/jobs/health-information-management-technician-ii/,Sarah Blenner,Director of Talent Resourcing,HR/TA,"Rapid City, SD",Yes,https://linkedin.com/in/sarah-blenner-msn-ne-bc-chcr-racr-75374880,TA director same city
2,Monument Health,Health Information Management Technician II,https://monument.health/jobs/health-information-management-technician-ii/,Jennifer Gholson,IT Community Connect Manager,IT,"Rapid City, SD",Yes,https://linkedin.com/in/jennifer-gholson-16b475a,IT manager same city
3,UC Health,Medical Records Technician,https://careers.uchealth.com/search/jobdetails/medical-records-technician-medical-records-services-full-time-1st-shift/bf6b3d76-4108-40d8-85be-3804ef1a9d08,Sandy Smart,Director Health Information Management,HIM,"Cincinnati, OH",Yes,https://linkedin.com/in/sandy-smart-414a62119,HIM director same city
3,UC Health,Medical Records Technician,https://careers.uchealth.com/search/jobdetails/medical-records-technician-medical-records-services-full-time-1st-shift/bf6b3d76-4108-40d8-85be-3804ef1a9d08,Laura Fickinger,Director Talent Acquisition,HR/TA,"Cincinnati, OH",Yes,https://linkedin.com/in/laura-fickinger-077941a,TA director same city
4,CarolinaEast Health System,HIS/Medical Records Clerk,https://jobs.carolinaeasthealth.com/job/pollocksville/his-medical-records-clerk-cim-pollocksville/242/80365562288,Lesley Hunter,Vice President Human Resources,HR,"New Bern, NC",Yes,https://linkedin.com/in/lesley-hunter-91b0071a0,VP HR same area
4,CarolinaEast Health System,HIS/Medical Records Clerk,https://jobs.carolinaeasthealth.com/job/pollocksville/his-medical-records-clerk-cim-pollocksville/242/80365562288,Heather Anderson,Information Systems Manager,HIM,"New Bern, NC",Yes,https://linkedin.com/in/heather-anderson-84ba6b24,IS manager same area
5,Penn Medicine,Medical Records Clerk,https://www.linkedin.com/jobs/view/medical-records-clerk-pah-farm-journal-building-at-penn-medicine-university-of-pennsylvania-health-system-4324511890,Sherine Koshy,Corporate Senior Director HIM,HIM,"Greater Philadelphia, PA",Yes,https://linkedin.com/in/sherine-koshy,Senior HIM director same metro
5,Penn Medicine,Medical Records Clerk,https://www.linkedin.com/jobs/view/medical-records-clerk-pah-farm-journal-building-at-penn-medicine-university-of-pennsylvania-health-system-4324511890,Michele Feisel,Director of Operations for Corporate HIM,HIM,"Greater Philadelphia, PA",Yes,https://linkedin.com/in/michele-feisel-b177913b,HIM ops director same metro
6,UK HealthCare,Medical Records Chart Coordinator,https://ukjobs.uky.edu/postings/597984,Trudy A. Hardin,Director of Health Information Management,HIM,"Lexington, KY",Yes,https://linkedin.com/in/trudy-a-hardin-rhia-b985ab10,HIM director same city
6,UK HealthCare,Medical Records Chart Coordinator,https://ukjobs.uky.edu/postings/597984,Brenda Adams,"HIM Manager Senior / Enterprise Transcription / Tumor Registry",HIM,"Lexington, KY",Yes,https://linkedin.com/in/brenda-adams-rhit-ccs-cpc-h-515bb315,Senior HIM manager same city
7,Sea Mar Community Health Centers,Health Information Management (HIM) Clerk,https://seamarcommunityhealthcenters.applytojob.com/apply/9NYvHKqJXG/Health-Information-Management-HIM-Clerk,Karen Brill,Health Information and Referrals Manager,HIM,"Seattle, WA",Yes,https://linkedin.com/in/karen-brill-7a028965,HIM manager same org
7,Sea Mar Community Health Centers,Health Information Management (HIM) Clerk,https://seamarcommunityhealthcenters.applytojob.com/apply/9NYvHKqJXG/Health-Information-Management-HIM-Clerk,Arnie Serna,Director of Human Resources,HR,"Seattle, WA",Yes,https://linkedin.com/in/arnie-serna-54a8584,HR director same org
8,Dana-Farber Cancer Institute,Health Information Services Processor,https://careers.dana-farber.org/job/12414/health-information-services-processor-health-info-svs-records-coding-us-ma-milford-20-prospect-street/,Kimberly White,Health Information Systems Operations Manager,HIM,"Boston, MA",Yes,https://linkedin.com/in/kimberly-white-92a1ab26,HIS ops manager at Dana-Farber
8,Dana-Farber Cancer Institute,Health Information Services Processor,https://careers.dana-farber.org/job/12414/health-information-services-processor-health-info-svs-records-coding-us-ma-milford-20-prospect-street/,Jennifer Daigneau,Director of Talent Acquisition & Onboarding,HR/TA,"Boston, MA",Yes,https://linkedin.com/in/jennifer-daigneau-85b1625,TA director at Dana-Farber
9,Beth Israel Lahey Health,Health Information Management Analyst,https://jobs.bilh.org/jobs/health-information-management-analyst-on-site-beverly-ma-beverly-ma-jr89888/,Susan Wilkens,"Director, Health Information Management",HIM,"Beverly, MA",Yes,https://linkedin.com/in/susan-wilkens-rhia-83a6442b,HIM director same location
9,Beth Israel Lahey Health,Health Information Management Analyst,https://jobs.bilh.org/jobs/health-information-management-analyst-on-site-beverly-ma-beverly-ma-jr89888/,Amy Reaves,HIM ROI/Audit & Research Manager,HIM,MA,Yes,https://linkedin.com/in/amy-reaves-b9727b62,HIM ROI manager at BILH
10,HCA Florida Heart Institute,HIM Technician,https://www.career.com/job/hca-florida-heart-institute/him-technician/j202405200308071296514,Jane Bowden,"Director, Health Information Management",HIM,FL,Yes,https://linkedin.com/in/jane-bowden-6201b33a,HIM director at HCA
10,HCA Florida Heart Institute,HIM Technician,https://www.career.com/job/hca-florida-heart-institute/him-technician/j202405200308071296514,Jessica Pieters,Talent Acquisition Manager - HCA Florida,HR/TA,FL,Yes,https://linkedin.com/in/jessica-pieters-6084b799,TA manager HCA Florida
11,Tenet Healthcare,Clerk II - Medical Records,https://jobs.tenethealth.com/job/modesto/clerk-ii-medical-records/1127/87896386192,Brandi Reiterman,National Director of HIM Operations,HIM,"Dallas, TX",No,https://linkedin.com/in/brandi-reiterman-85a57b28,National HIM ops director
11,Tenet Healthcare,Clerk II - Medical Records,https://jobs.tenethealth.com/job/modesto/clerk-ii-medical-records/1127/87896386192,Jeff Theisen,"Director, Talent Acquisition",HR/TA,Unknown,No,https://linkedin.com/in/theisenjeff,TA director at Tenet
12,USA Health,Health Information Management Clerk I,https://careers.usahealthsystem.com/jobs/19977?lang=en-us,Kirk Simm,"Health System Director, Health Information Management",HIM,"Mobile, AL",Yes,https://linkedin.com/in/kirk-simm-rhia-61473784,HIM director same city
12,USA Health,Health Information Management Clerk I,https://careers.usahealthsystem.com/jobs/19977?lang=en-us,Donna Crew,Director of HIS/Privacy Officer,HIM,"Mobile, AL",Yes,https://linkedin.com/in/donna-crew-rhia-chps-4070b247,HIS director same city
13,Boone Hospital Center,Health Information Management Clerk,https://boonehospital.hcshiring.com/jobs/CjkJB8_hG0GBucGBN9IdFA,Mary Lee Harlan-Newberry,HIM Manager,HIM,"Columbia, MO",Yes,https://linkedin.com/in/mary-lee-harlan-newberry-mba-rhia-ccs-crcr-5673a723,HIM manager same city
13,Boone Hospital Center,Health Information Management Clerk,https://boonehospital.hcshiring.com/jobs/CjkJB8_hG0GBucGBN9IdFA,Kathleen Stevens,HR Manager,HR,"Columbia, MO",Yes,https://linkedin.com/in/kathleen-stevens-med-shrm-cp-977b8a90,HR manager same city
14,Baptist Health,HIM Health Record Associate,https://www.linkedin.com/jobs/view/him-health-record-associate-health-information-management-bethesda-east-ft-8a-4-30p-at-baptist-health-4300156135,Todd Williams,"Associate Vice President, Health Information Management",HIM,South Florida,Yes,https://linkedin.com/in/todd-williams-b0535048,AVP HIM same region
14,Baptist Health,HIM Health Record Associate,https://www.linkedin.com/jobs/view/him-health-record-associate-health-information-management-bethesda-east-ft-8a-4-30p-at-baptist-health-4300156135,Kathi Eldridge,"AVP, Talent Acquisition & Clinical Contract Labor",HR/TA,FL,Yes,https://linkedin.com/in/katherineconnors,AVP TA at Baptist Health
15,UAB Medicine,Clinical Analyst Medical Record Governance,https://careers.uabmedicine.org/us/en/job/UAB001WV/Clinical-Analyst-Medical-Record-Governance,Tina Parker,"Manager, Office of Medical Record Governance",HIM,"Birmingham, AL",Yes,https://linkedin.com/in/tina-parker-b0903017,Exact department manager same city
15,UAB Medicine,Clinical Analyst Medical Record Governance,https://careers.uabmedicine.org/us/en/job/UAB001WV/Clinical-Analyst-Medical-Record-Governance,Desiree Roberts-Hitchcock,"Executive Director, HIM",HIM,"Birmingham, AL",Yes,https://linkedin.com/in/desireerobertsmlsrhia,Executive Dir HIM same city
16,Duke Health,Application Analyst - Epic Inpatient,https://careers.dukehealth.org/us/en/job/DUHDUHUS262799EXTERNALENUS/Application-Analyst-Epic-Inpatient,Cory Grimshaw,Regional Director Health Information Management,HIM,"Durham, NC",Yes,https://linkedin.com/in/cory-grimshaw-mha-rhia-72673158,Regional HIM director same city
16,Duke Health,Application Analyst - Epic Inpatient,https://careers.dukehealth.org/us/en/job/DUHDUHUS262799EXTERNALENUS/Application-Analyst-Epic-Inpatient,Martine Chevalier,"Director, Talent Acquisition",HR/TA,"Durham, NC",Yes,https://linkedin.com/in/martine-chevalier-042a214a,TA director same city
17,Virginia Heart,Health Information Management Coordinator,https://jobs.digitalhire.com/job-listing/opening/3aqwMvS4mKYG9rPPE2WzFt,Adrienne Hannan,"Associate Director, HIM Department",HIM,Northern Virginia,Yes,https://linkedin.com/in/adrienne-hannan-rhia-b8134791,Assoc Dir HIM Northern VA
17,Virginia Heart,Health Information Management Coordinator,https://jobs.digitalhire.com/job-listing/opening/3aqwMvS4mKYG9rPPE2WzFt,Vanessa Moriarty,Talent Acquisition Specialist,HR/TA,"Falls Church, VA",Yes,https://linkedin.com/in/vanessa-moriarty-ba9721b1,TA at Virginia Heart directly
